;DroneAnnealing: (1, 0.4, 1);DroneHiveGWO: ('grey',);
0;0.0;0.0;
5;0.0;0.0;
10;0.0;0.0;
15;0.0;0.0;
20;0.0;0.0;
25;0.0;0.0;
30;0.0;0.0;
35;0.0;0.0;
40;0.0;0.0;
45;0.0;0.0;
50;0.0;0.0;
55;0.0;0.0;
60;0.00014097744360902254;0.0;
65;0.0005639097744360902;0.0007518796992481203;
70;0.0010189793233082707;0.0007518796992481203;
75;0.001733562969924812;0.003152225563909775;
80;0.0021755986842105263;0.00579193984962406;
85;0.0024270375939849627;0.007741924812030074;
90;0.0030963458646616543;0.009774436090225564;
95;0.004336495300751879;0.010340345864661654;
100;0.005490543233082706;0.016911609022556392;
105;0.0064746447368421054;0.016911609022556392;
110;0.006865755639097745;0.019001533834586467;
115;0.006699210526315789;0.024369804511278192;
120;0.006652298872180451;0.02498911278195489;
125;0.006982485902255639;0.025012451127819548;
130;0.006628720864661653;0.029619157894736844;
135;0.0067488627819548876;0.03287816541353383;
140;0.006944884398496242;0.03287816541353383;
145;0.006724778195488721;0.03287816541353383;
150;0.00596393515037594;0.03351848120300752;
155;0.005012332706766918;0.03483216541353384;
160;0.003923516917293234;0.038046015037593986;
165;0.003021463345864662;0.038046015037593986;
170;0.003166487781954887;0.04415403007518797;
175;0.0036855648496240605;0.050493187969924816;
180;0.004422952067669172;0.050493187969924816;
185;0.004851647556390977;0.05485640601503759;
190;0.004889176691729323;0.058642496240601506;
195;0.004522700187969925;0.07132102255639099;
200;0.003990218045112782;0.07792942857142857;
205;0.0034671268796992484;0.08018506766917294;
210;0.0033388928571428567;0.08298404511278196;
215;0.003460871240601504;0.08380789473684211;
220;0.0035001748120300756;0.0847126015037594;
225;0.0034740592105263163;0.08711706766917293;
230;0.003246624060150376;0.08711706766917293;
235;0.003044298872180451;0.09007687218045114;
240;0.004027151315789473;0.10498496240601503;
245;0.005265583646616542;0.11733362406015037;
250;0.006024533834586465;0.13184566917293233;
255;0.006683887218045112;0.14862470676691728;
260;0.007286261278195488;0.17406505263157895;
265;0.007944760338345864;0.1922565413533835;
270;0.008718404135338347;0.2110448721804511;
275;0.009525328007518798;0.24561419548872182;
280;0.009855686090225564;0.28489932330827067;
285;0.009925095864661655;0.31087348872180454;
290;0.00986084492481203;0.32493830075187974;
295;0.009481567669172932;0.3472156090225563;
300;0.008741391917293234;0.379946962406015;
305;0.0077016165413533845;0.3824014586466165;
310;0.0068944511278195494;0.4334224360902256;
315;0.006750030075187971;0.4776983157894737;
320;0.006659496240601503;0.5179972932330827;
325;0.0067679652255639095;0.5493979849624061;
330;0.006934978383458647;0.5940483007518798;
335;0.0067721249999999995;0.6063188571428572;
340;0.006678229323308271;0.6088986015037594;
345;0.006296840225563909;0.6441687067669174;
350;0.006465964285714287;0.6727247969924812;
355;0.006413708646616541;0.6837798796992481;
360;0.0061856766917293225;0.7043522406015039;
365;0.005985682330827067;0.744816030075188;
370;0.005567843045112782;0.7875058947368423;
375;0.005092421052631579;0.8089857894736843;
380;0.00448818515037594;0.8467585563909775;
385;0.0038177575187969925;0.8739389172932331;
390;0.0035879520676691725;0.886430045112782;
395;0.003833473684210526;0.8889299699248122;
400;0.004874579887218045;0.9059822556390978;
405;0.0064973430451127825;0.9445104962406016;
410;0.008240707706766917;0.9489376842105265;
415;0.01008332142857143;0.9489376842105265;
420;0.012091818609022555;0.9489376842105265;
425;0.013794107142857144;0.9538509473684211;
430;0.015756087406015036;0.9659170225563911;
435;0.017227943609022554;0.9659170225563911;
440;0.01807370394736842;0.98363430075188;
445;0.017730424812030077;0.9845267669172935;
450;0.01625105733082707;0.9845267669172935;
455;0.014338156015037592;0.9845267669172935;
460;0.011781466165413534;0.9890589473684213;
465;0.009453058270676691;0.9890589473684213;
470;0.007784179511278195;0.9902975488721807;
475;0.006416439849624061;0.9906687218045113;
480;0.005750001879699249;0.9910778195488721;
485;0.005817475563909775;0.9914869172932331;
490;0.00638005545112782;0.9914869172932331;
495;0.007567505639097745;0.9914869172932331;
500;0.008552035714285713;0.9914869172932331;
505;0.009451744360902256;0.9914869172932331;
510;0.009956190789473683;0.9914869172932331;
515;0.00870906954887218;0.9914869172932331;
520;0.007612161654135338;0.9914869172932331;
525;0.00809337030075188;0.9914869172932331;
530;0.008499779135338345;0.9914869172932331;
535;0.009339517857142859;0.9914869172932331;
540;0.010665728383458648;0.9914869172932331;
545;0.011865045112781955;0.9914869172932331;
550;0.0131163515037594;0.9914869172932331;
555;0.014443473684210527;0.9914869172932331;
560;0.015452087406015037;0.9914869172932331;
565;0.017045131578947364;0.9914869172932331;
570;0.0178549257518797;0.9914869172932331;
575;0.01831538721804511;0.9914869172932331;
580;0.019076834586466165;0.9914869172932331;
585;0.018793058270676694;0.9914869172932331;
590;0.017685123120300753;0.9914869172932331;
595;0.018825048872180453;0.9914869172932331;
600;0.02117441635338346;0.9914869172932331;
605;0.023299621240601504;0.9914869172932331;
610;0.025553478383458644;0.9914869172932331;
615;0.02782057236842105;0.9914869172932331;
620;0.030445274436090224;0.9914869172932331;
625;0.033294968045112776;0.9914869172932331;
630;0.03521939003759398;0.9914869172932331;
635;0.03586485432330828;0.9914869172932331;
640;0.0343669454887218;0.9914869172932331;
645;0.030965570488721804;0.9914869172932331;
650;0.02897995676691729;0.9914869172932331;
655;0.028273788533834585;0.9914869172932331;
660;0.02688180169172932;0.9914869172932331;
665;0.024986353383458646;0.9914869172932331;
670;0.024528704887218047;0.9914869172932331;
675;0.02543531390977444;0.9914869172932331;
680;0.0251472969924812;0.9914869172932331;
685;0.0232944727443609;0.9914869172932331;
690;0.021389913533834588;0.9914869172932331;
695;0.023806963345864664;0.9914869172932331;
700;0.026696573308270678;0.9914869172932331;
705;0.02878005639097744;0.9914869172932331;
710;0.028703586466165415;0.9914869172932331;
715;0.026407862781954883;0.9914869172932331;
720;0.02720211748120301;0.9914869172932331;
725;0.03064476315789473;0.9914869172932331;
730;0.03352510526315789;0.9914869172932331;
735;0.03406808270676692;0.9914869172932331;
740;0.036130984962406014;0.9914869172932331;
745;0.03567337969924812;0.9914869172932331;
750;0.03694615037593985;0.9914869172932331;
755;0.03814966635338346;0.9914869172932331;
760;0.04183168327067669;0.9914869172932331;
765;0.04381963439849624;0.9914869172932331;
770;0.04271003289473685;0.9914869172932331;
775;0.0393043242481203;0.9914869172932331;
780;0.03569199906015037;0.9914869172932331;
785;0.0345826212406015;0.9914869172932331;
790;0.03686265037593985;0.9914869172932331;
795;0.04011680357142857;0.9914869172932331;
800;0.04155376033834587;0.9914869172932331;
805;0.04011717387218045;0.9914869172932331;
810;0.035776109962406016;0.9914869172932331;
815;0.03441549718045113;0.9914869172932331;
820;0.0330673204887218;0.9914869172932331;
825;0.03163209586466165;0.9914869172932331;
830;0.030955977443609013;0.9914869172932331;
835;0.030898989661654136;0.9914869172932331;
840;0.030688920112781962;0.9914869172932331;
845;0.030912419172932325;0.9914869172932331;
850;0.03022662781954887;0.9914869172932331;
855;0.02836649812030075;0.9914869172932331;
860;0.02617807706766917;0.9914869172932331;
865;0.025831774436090225;0.9914869172932331;
870;0.027543540413533834;0.9914869172932331;
875;0.029445708646616543;0.9914869172932331;
880;0.03214352631578947;0.9914869172932331;
885;0.0344885;0.9914869172932331;
890;0.03599715977443609;0.9914869172932331;
895;0.03457795488721805;0.9914869172932331;
900;0.030434130639097744;0.9914869172932331;
905;0.03056688345864661;0.9914869172932331;
910;0.029366012218045114;0.9914869172932331;
915;0.02718318327067669;0.9914869172932331;
920;0.024680144736842106;0.9914869172932331;
925;0.022377513157894737;0.9914869172932331;
930;0.02008690789473684;0.9914869172932331;
935;0.01824699436090226;0.9914869172932331;
940;0.014809540413533835;0.9914869172932331;
945;0.011554428571428571;0.9914869172932331;
950;0.013853994360902254;0.9914869172932331;
955;0.016158079887218044;0.9914869172932331;
960;0.018862968045112782;0.9914869172932331;
965;0.020577160714285714;0.9914869172932331;
970;0.02062832236842105;0.9914869172932331;
975;0.01916493703007519;0.9914869172932331;
980;0.017499257518796996;0.9914869172932331;
985;0.0166813242481203;0.9914869172932331;
990;0.015136101503759398;0.9914869172932331;
995;0.012435434210526316;0.9914869172932331;
